country,mtCO2,GDP
Brazil,488.8811,2996222.891
Canada,545.6345,1638815.038
China,11472.3692,25990256.32
India,2709.6836,9458035.32
Indonesia,619.2775,3246019.213
Iran,748.8788,1554169.545
Japan - Territorial,1067.3984,4694243.088
Mexico - Territorial,407.205,2078107.195
Russian Federation - Territorial,1755.5474,3455749.003
Saudi Arabia - Territorial,672.3799,1609247.546
South Africa - Territorial,435.9289,683592.6775
South Korea - Territorial,616.075,2013260.459
United States of America - Territorial,5007.3359,18642323.48
